the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-74.00605742697854 40.724150071156906),1,Manhattan,102,3,66,26,10,2687,1237,BID,backless,12/12/2014,104 Varick Street,104 Varick Street,Varick Street,Watts Street & Broome Street,Manhattan,102,Not Applicable,Hudson Square Connection,40.7241500712,-74.006057427,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.94046656410555 40.84546071578394),1,Manhattan,112,10,71,31,13,3284,2372,Municipal Facilities,backed,05/24/2016,306 Fort Washington Avenue,306 Fort Washington Avenue,Fort Washington Avenue,173rd Street & 174th Street,Manhattan,112,Not Applicable,Not Applicable,40.845469,-73.940468,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94154256330236 40.85090371465288),1,Manhattan,112,10,71,31,13,3280,2345,General,backed,05/24/2016,340 Haven Avenue,340 Haven Avenue,W 181st Street,W 181st Street & GW Bridge On-Ramp,Manhattan,112,Not Applicable,Not Applicable,40.850912,-73.941544,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94993056532624 40.78544672743978),1,Manhattan,111,5,68,29,12,763,852,General,backless,02/06/2013,175 East 96th Street,175 East 96th Street,East 96th Street,Third Avenue & Lexington Avenue,Manhattan,111,M96,Not Applicable,40.785455,-73.949932,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94561756371449 40.827962718505816),1,Manhattan,109,7,71,30,13,3171,1869,General,backed,10/28/2015,1802 Amsterdam Avenue,1802 Amsterdam Avenue,Amsterdam Avenue,149th Street & 150th Street,Manhattan,109,Not Applicable,Not Applicable,40.827971,-73.945619,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94209356582202 40.81238772228558),1,Manhattan,110,9,70,30,13,962,560,Senior Center,backed,05/06/2013,448 Lenox Avenue,448 Lenox Avenue,Lenox Avenue,132nd & 133rd Street,Manhattan,110,Not Applicable,Not Applicable,40.812396,-73.942095,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93716856810997 40.79356472501539),1,Manhattan,111,8,68,30,13,1259,76,General,backless,10/11/2012,2182 First Avenue,2182 First Avenue,1st Avenue,East 112th and 114th Streets,Manhattan,111,M15,Not Applicable,40.793573,-73.93717,AE,,3
POINT (-73.95761156331515 40.773822729544705),1,Manhattan,108,4,73,28,12,3034,1528,Municipal Facilities,backless,03/12/2015,1373 3rd Avenue,1373 3rd Avenue,3rd Avenue,78th Street and 79th Street,Manhattan,108,X1,Not Applicable,40.773831,-73.957613,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92833656667888 40.86640671064129),1,Manhattan,112,10,71,31,13,1944,677,General,backed,07/29/2013,250 Dyckman Street,250 Dyckman Street,Dyckman Street,Seaman Avenue & Payson Avenue,Manhattan,112,Not Applicable,Not Applicable,40.866415,-73.928338,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.99380755216963 40.761920733140634),1,Manhattan,104,3,67,27,10,1731,858,General,backed,02/08/2013,645 10th Avenue,645 10th Avenue,10th Avenue,45th & 46th Streets,Manhattan,104,Not Applicable,Not Applicable,40.761929,-73.993809,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.92912756714634 40.85998471174884),1,Manhattan,112,10,72,31,13,2330,1358,Senior Center,backed,01/15/2014,54 Nagle Avenue,54 Nagle Avenue,Nagle Avenue,Ellwood Street & Hillside Avenue,Manhattan,112,Not Applicable,Not Applicable,40.859993,-73.929129,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90788457280156 40.87605370785769),1,Manhattan,208,10,72,31,13,3407,91,Bus Route,backless 2,07/03/2017,5365 Broadway,5365 Broadway,Broadway,W. 228th Street & W. 230th Street,Bronx,208,BX07,Not Applicable,40.876062,-73.907886,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.99409855382008 40.74112673749963),1,Manhattan,104,3,75,27,12,2208,1098,BID,backed,12/03/2013,655 6th Avenue,655 6th Avenue,6th Avenue,W 20th Street and W 21st Street,Manhattan,104,Not Applicable,Flatiron/23rd Street Partnership,40.741135,-73.9941,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.96441756091146 40.767396731694745),1,Manhattan,108,4,73,28,12,2225,1084,Bus Route,backless,10/29/2013,904 Lexington Avenue,904 Lexington Avenue,East 67th Street,Lexington and Park Avenues,Manhattan,108,M66,Not Applicable,40.767405,-73.964419,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98275355783636 40.73864673767897),1,Manhattan,106,2,74,28,12,2329,1384,Senior Center,backless,01/31/2014,204 E 23rd Street,204 E 23rd Street,E 23rd Street,2nd & 3rd Avenue,Manhattan,106,BX38,Not Applicable,40.738655,-73.982755,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94104456712077 40.79748572445742),1,Manhattan,111,8,68,29,13,3903,323,General,backed 2,10/14/2017,185 E 115th Street,185 E 115th Street,E 115th Street,Lexington Avenue & 3rd Avenue,Manhattan,111,Not Applicable,Not Applicable,40.797494,-73.941046,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.97773055858256 40.736461738001395),1,Manhattan,106,4,74,27,12,3353,2243,Municipal Facilities,backed,06/03/2016,423 E 23rd Street,423 E 23rd Street,E 23rd Street,1st Avenue & Asser Levy Place,Manhattan,106,Not Applicable,Not Applicable,40.73647,-73.977732,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.94821356271241 40.82547171951714),1,Manhattan,109,7,71,31,13,3367,2258,Municipal Facilities,backed,06/01/2016,510 W 145th Street,510 W 145th Street,W 145th Street,Amsterdam Avenue & Broadway,Manhattan,109,Not Applicable,Not Applicable,40.82548,-73.948215,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97593855989022 40.723793740569995),1,Manhattan,103,2,74,27,7,3068,1008,Bus Route,backless,04/17/2015,118 Avenue D,118 Avenue D,Avenue D,E. 8th Street and E. 9th Street,Manhattan,103,M14AD,Not Applicable,40.723802,-73.97594,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
