the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.89125457831824 40.8828897062498),2,Bronx,208,11,81,34,13,2703,1201,Municipal Facilities,backed,07/30/2014,3961 Hillman Avenue,3961 Hillman Avenue,Hillman Avenue,Sedgwick Avenue & Van Cortlandt Park South,Bronx,208,Not Applicable,Not Applicable,40.882898,-73.891256,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92221157065964 40.8321217171771),2,Bronx,204,16,84,29,15,2307,1121,General,backed,01/08/2014,1068 Gerard Avenue,1068 Gerard Avenue,Gerard Avenue,E165th & McClellan Street,Bronx,204,Not Applicable,Not Applicable,40.83213,-73.922213,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90794657612913 40.82328071839034),2,Bronx,203,17,79,32,15,2696,1323,Municipal Facilities,backed,09/15/2014,916 Eagle Avenue,916 Eagle Avenue,Eagle Avenue,East 161st Street & East 163rd Street,Bronx,203,Not Applicable,Not Applicable,40.823289,-73.907948,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91020652149707 40.83121761931541),2,Bronx,203,16,77,32,15,2081,0,General,backless,,1170 Webster Avenue,1170 Webster Avenue,Webster Avenue,E 167th Street and E 168th Street,Bronx,203,BX41,Not Applicable,40.8312176193,-73.9102065215,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.87108258704137 40.839650713881774),2,Bronx,209,15,87,33,15,4027,10,Bus Route,backed 2,03/06/2018,1280 East Tremont Avenue,1280 East Tremont Avenue,East Tremont Avenue,Van Nest Avenue & Rosedale Avenue,Bronx,209,BX40,Not Applicable,40.839659,-73.871084,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84579659534838 40.84400871186195),2,Bronx,210,13,82,34,14,2454,952,Health Care Facilities,backless,05/02/2014,1485 Williamsbridge Road,1485 Williamsbridge Road,Williamsbridge Road,St. Raymonds Avenue and Silver Street,Bronx,210,BX8,Westchester Square,40.844017,-73.845798,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90048557726547 40.84758771317469),2,Bronx,206,15,86,33,15,2589,1136,Municipal Facilities,backless,07/14/2014,410 E. Tremont Avenue,410 E. Tremont Avenue,E. Tremont Avenue,Webster Avenue and Park Avenue,Bronx,206,BX40,Not Applicable,40.847596,-73.900487,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9005445745867 40.885310706397185),2,Bronx,208,11,81,34,13,3866,256,Senior Safety,backed 2,09/01/2017,5825 Broadway,5825 Broadway,W 238th Street,W 238th Street & W 240th Street,Bronx,208,Not Applicable,Not Applicable,40.885319,-73.900546,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91493957496138 40.810841721246696),2,Bronx,201,8,84,29,15,2432,834,Senior Center,backless,04/23/2014,401 St. Anns Avenue,401 St. Anns Avenue,St. Anns Avenue,E 143rd Street and E 144th street,Bronx,201,BX17,Not Applicable,40.81085,-73.914941,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.89098458127383 40.820425718659855),2,Bronx,202,17,85,32,15,3733,61,Bus Route,backless 2,06/29/2017,925 Hunts Point Avenue,925 Hunts Point Avenue,Hunts Point Avenue,Southern Blvd & Bruckner Blvd,Bronx,202,BX6,Not Applicable,40.820434,-73.890986,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88928158204688 40.818760718608495),2,Bronx,202,17,85,32,15,1782,1031,General,backed,11/14/2013,875 Hunts Point Avenue,875 Hunts Point Avenue,Hunts Point Avenue,Seneca Avenue & Garrison Avenue,Bronx,202,Not Applicable,Not Applicable,40.818769,-73.889283,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86108859010128 40.835181714638495),2,Bronx,209,18,87,32,15,3525,17,Bus Route,backless 2,02/04/2017,1375 Metropolitan Avenue,1375 Metropolitan Avenue,Metropolitan Avenue,Wood Avenue & McGraw Avenue,Bronx,209,BX04,Not Applicable,40.83519,-73.86109,X,AREA OF MINIMAL FLOOD HAZARD,6
