OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
11804,1,Free,LinkNYC - Citybridge,mn-05-137211,49 EAST 19 STREET,40.7379697602,-73.9885842996,987413.55206,208139.09263,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014420,02/07/2018,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2,10003,105,52,52,1087725,1008487510,4424,"(40.7379697602, -73.9885842996)"
12265,1,Free,LinkNYC - Citybridge,mn-06-121360,605 3Rd Ave,40.7493411197,-73.9751864195,991125.237878,212282.80908,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000309,10/26/2016,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10016,106,88,88,1082153,1009200010,3148,"(40.7493411197, -73.9751864195)"
11030,1,Free,LinkNYC - Citybridge,mn-04-138190,120 7 AVENUE,40.7407724603,-73.9982041003,984747.664019,209160.003974,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012818,03/20/2018,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,10011,104,81,81,1086067,1007677500,4227,"(40.7407724603, -73.9982041003)"
12491,1,Free,LinkNYC - Citybridge,mn-09-120363,3539 BROADWAY,40.8263762897,-73.9507163101,997889.517,240352.227022,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001703,10/21/2016,1,Manhattan,MN04,Hamilton Heights,7,10031,109,229,229,1062370,1020910040,3576,"(40.8263762897, -73.9507163101)"
9818,1,Free,LinkNYC - Citybridge,mn-07-136701,921 COLUMBUS AVENUE,40.7987167499,-73.9631153897,994462.250889,230273.18222,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012788,09/09/9999,1,Manhattan,MN12,Upper West Side,7,10025,107,189,189,1055593,1018410000,4915,"(40.7987167499, -73.9631153897)"
11791,1,Free,LinkNYC - Citybridge,mn-03-108607,45 ORCHARD STREET,40.7163550002,-73.9911979994,986690.02726,200264.080821,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014263,01/09/2017,1,Manhattan,MN27,Chinatown,1,10002,103,16,16,1003993,1003080030,4411,"(40.7163550002, -73.9911979994)"
12264,1,Free,LinkNYC - Citybridge,mn-06-138030,203 EAST 39 STREET,40.7487327964,-73.975363394,991076.264879,212061.163526,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000308,07/01/2016,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10016,106,88,88,1082153,1009200010,3147,"(40.7487327964, -73.975363394)"
12686,1,Free,LinkNYC - Citybridge,mn-04-142000,831 8 AVENUE,40.7624306402,-73.9861557696,988085.144877,217051.076446,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000563,06/22/2016,1,Manhattan,MN15,Clinton,3,10019,104,133,133,1085727,1010410030,3263,"(40.7624306402, -73.9861557696)"
10656,1,Free,LinkNYC - Citybridge,mn-07-121335,2040 BROADWAY,40.7771371701,-73.9819042697,989261.793442,222409.369207,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000942,07/19/2016,1,Manhattan,MN14,Lincoln Square,6,10023,107,157,157,1029749,1011427500,3414,"(40.7771371701, -73.9819042697)"
12789,1,Free,LinkNYC - Citybridge,mn-09-142532,1421 AMSTERDAM AVENUE,40.8157995997,-73.9543637097,996882.087913,236498.209468,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-005209,09/22/2017,1,Manhattan,MN06,Manhattanville,9,10027,109,213,213,1059623,1019700000,3716,"(40.8157995997, -73.9543637097)"
11881,1,Free,LinkNYC - Citybridge,mn-11-120180,25 EAST 116 STREET,40.8001415301,-73.9449661597,999486.905866,230794.915756,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-011337,01/25/2017,1,Manhattan,MN34,East Harlem North,9,10035,111,184,184,1089838,1016227500,4045,"(40.8001415301, -73.9449661597)"
11243,1,Free,LinkNYC - Citybridge,mn-10-142813,2306 FREDERICK DOUGLASS BOULEVARD,40.8092681002,-73.9517076806,997618.58644,234118.945526,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010346,10/14/2016,1,Manhattan,MN11,Central Harlem South,9,10027,110,222,222,1087917,1019297500,3873,"(40.8092681002, -73.9517076806)"
10694,1,Free,LinkNYC - Citybridge,mn-06-109579,945 2 AVENUE,40.7550431903,-73.96855237,992962.625279,214360.847903,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-007636,02/15/2018,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10022,106,98,98,1038439,1013240020,3800,"(40.7550431903, -73.96855237)"
10541,1,Free,LinkNYC - Citybridge,mn-06-121770,1063 2 AVENUE,40.7587770701,-73.9658396999,993713.645103,215721.503318,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012859,09/09/9999,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10022,106,108,108,1090233,1013307500,4786,"(40.7587770701, -73.9658396999)"
9667,1,Free,LinkNYC - Citybridge,mn-05-135659,455 PARK AVENUE SOUTH,40.7449836101,-73.9827228297,989037.395597,210694.726954,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012677,02/04/2019,1,Manhattan,MN20,Murray Hill-Kips Bay,2,10016,105,72,72,1018348,1008860090,4866,"(40.7449836101, -73.9827228297)"
10682,1,Free,LinkNYC - Citybridge,mn-07-121239,2252 BROADWAY,40.785005,-73.9787810002,990126.119798,225276.080337,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000978,05/19/2016,1,Manhattan,MN12,Upper West Side,6,10024,107,167,167,1070992,1012287500,3440,"(40.785005, -73.9787810002)"
12653,1,Free,LinkNYC - Citybridge,mn-03-115305,193 2 AVENUE,40.7311570103,-73.9859280201,988150.066663,205657.100875,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003015,09/13/2016,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006882,1004687500,3653,"(40.7311570103, -73.9859280201)"
